feature,importance
Contract,0.34810692
Fiber_Monthly,0.19288269
OnlineSecurity,0.07718072
InternetService,0.046018723
TechSupport,0.034264244
PhoneService,0.032615688
StreamingMovies,0.030839864
tenure,0.0274354
MonthlyCharges,0.017795641
MultipleLines,0.017213523
TotalCharges,0.017195696
PaymentMethod,0.017119862
NumServices,0.016600132
AvgMonthly,0.016382156
PaperlessBilling,0.015906299
OnlineBackup,0.014298542
SeniorCitizen,0.012395186
gender,0.011761647
DeviceProtection,0.01161241
StreamingTV,0.011098004
Dependents,0.010893225
TenureGroup,0.010709192
Partner,0.009674298
Has_OnlineBackup,0.0
Has_OnlineSecurity,0.0
Has_StreamingMovies,0.0
Has_StreamingTV,0.0
Has_TechSupport,0.0
Has_DeviceProtection,0.0
